director,title,star,writer
Fred Schepisi,It Runs in the Family,Kirk Douglas,Jesse Wigutow
Joel Schumacher,Veronica Guerin,Cate Blanchett,Carol Doyle
Neil LaBute,The Shape of Things,Paul Rudd,Neil LaBute
Matthew Ryan Hoge,The United States of Leland,Ryan Gosling,Matthew Ryan Hoge
Peter Hedges,Pieces of April,Katie Holmes,Peter Hedges
C. Jay Cox,Latter Days,Wes Ramsey,C. Jay Cox
Anders Thomas Jensen,The Green Butchers,Nikolaj Lie Kaas,Anders Thomas Jensen
David Zucker,My Boss's Daughter,Ashton Kutcher,David Dorfman
Clare Kilner,How to Deal,Mandy Moore,Sarah Dessen
GÈrard Krawczyk,Taxi 3,Samy Naceri,Luc Besson
Hector Babenco,Carandiru,Enrique Diaz,Hector Babenco
Steve Trenbirth,The Jungle Book 2,John Goodman,Karl Geurs
Ki-duk Kim,"Spring, Summer, Fall, Winter... and Spring",Ki-duk Kim,Ki-duk Kim
Keith Gordon,The Singing Detective,Robert Downey Jr.,Dennis Potter
David Hillenbrand,Dorm Daze,Tatyana Ali,Patrick Casey
John Hoffman,Good Boy!,Liam Aiken,Zeke Richardson
Roger Michell,The Mother,Daniel Craig,Hanif Kureishi
NimrÛd Antal,Kontroll,S·ndor Cs·nyi,Jim Adler
Bruno Dumont,29 palmas - Pasiones salvajes,Yekaterina Golubeva,Bruno Dumont
Jonathan Lynn,The Fighting Temptations,Cuba Gooding Jr.,Elizabeth Hunter
Michael Haneke,Time of the Wolf,Isabelle Huppert,Michael Haneke
Isabel Coixet,La vida sin mÌ,Sarah Polley,Isabel Coixet
Michael Spierig,Undead,Felicity Mason,Michael Spierig
John Crowley,Intermission,Cillian Murphy,Mark O'Rowe
Michael Winterbottom,Code 46,Tim Robbins,Frank Cottrell Boyce
Stephen Fry,Bright Young Things,Stephen Campbell Moore,Stephen Fry
Denys Arcand,The Barbarian Invasions,RÈmy Girard,Denys Arcand
Takashi Miike,Gozu,Y˚ta Sone,Sakichi SatÙ
Damian Nieman,Shade,Joe Nicolo,Damian Nieman
Philip Saville,The Visual Bible: The Gospel of John,Henry Ian Cusick,John Goldsmith
Takeshi Kitano,The Blind Swordsman: Zatoichi,Takeshi Kitano,Takeshi Kitano
Robert Altman,The Company,Neve Campbell,Neve Campbell
Francis Glebas,Piglet's Big Movie,John Fiedler,Brian Hohlfeld
Rakesh Roshan,Koi... Mil Gaya,Rekha,Rakesh Roshan
Andrew Black,Pride and Prejudice,Kam Heskin,Jane Austen
Rob Reiner,Alex & Emma,Luke Wilson,Jeremy Leven
Sue Brooks,Japanese Story,Toni Collette,Alison Tilson
Bronwen Hughes,Stander,Thomas Jane,Bima Stagg
Richard Kwietniowski,Owning Mahowny,Philip Seymour Hoffman,Gary Stephen Ross
Gabriele Salvatores,I'm Not Scared,Aitana S·nchez-GijÛn,NiccolÚ Ammaniti
Jane Weinstock,Easy,Marguerite Moreau,Jane Weinstock
Mike Hodges,I'll Sleep When I'm Dead,Clive Owen,Trevor Preston
Ben Coccio,Zero Day,Cal Robertson,Ben Coccio
Gary Hardwick,Deliver Us from Eva,Gabrielle Union,James Iver Mattson
Anne Fontaine,Nathalie...,Fanny Ardant,Philippe Blasband
Thomas Vinterberg,It's All About Love,Joaquin Phoenix,Mogens Rukov
Matthew Parkhill,Dot the I,Gael GarcÌa Bernal,Matthew Parkhill
Larry Charles,Masked and Anonymous,Bob Dylan,Bob Dylan
AndrÈ TÈchinÈ,Strayed,Emmanuelle BÈart,Gilles Perrault
Mario Van Peebles,Baadasssss!,Mario Van Peebles,Melvin Van Peebles
Aziz Mirza,Chalte Chalte,Shah Rukh Khan,Aziz Mirza
Christoffer Boe,Reconstruction,Nikolaj Lie Kaas,Christoffer Boe
Ming-liang Tsai,"Goodbye, Dragon Inn",Kang-sheng Lee,Sung Hsi
Efram Potelle,The Battle of Shaker Heights,Shia LaBeouf,Erica Beeney
Erik Van Looy,The Memory of a Killer,Koen De Bouw,Jef Geeraerts
Nick Cassavetes,The Notebook,Gena Rowlands,Jeremy Leven
James Wan,Saw,Cary Elwes,Leigh Whannell
Wolfgang Petersen,Troy,Brad Pitt,Homer
M. Night Shyamalan,The Village,Sigourney Weaver,M. Night Shyamalan
Guillermo del Toro,Hellboy,Ron Perlman,Guillermo del Toro
Mark Waters,Mean Girls,Lindsay Lohan,Rosalind Wiseman
Alfonso CuarÛn,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe,J.K. Rowling
Brad Bird,The Incredibles,Craig T. Nelson,Brad Bird
Michel Gondry,Eternal Sunshine of the Spotless Mind,Jim Carrey,Charlie Kaufman
Roland Emmerich,The Day After Tomorrow,Dennis Quaid,Roland Emmerich
Quentin Tarantino,Kill Bill: Vol. 2,Uma Thurman,Quentin Tarantino
Jonathan Hensleigh,The Punisher,Thomas Jane,Jonathan Hensleigh
Jeff Schaffer,EuroTrip,Scott Mechlowicz,Alec Berg
Edgar Wright,Shaun of the Dead,Simon Pegg,Simon Pegg
Stephen Sommers,Van Helsing,Hugh Jackman,Stephen Sommers
Joel Schumacher,The Phantom of the Opera,Gerard Butler,Gaston Leroux
Luke Greenfield,The Girl Next Door,Emile Hirsch,David Wagner
Keenen Ivory Wayans,White Chicks,Marlon Wayans,Keenen Ivory Wayans
Brad Anderson,The Machinist,Christian Bale,Scott Kosar
Paul Haggis,Crash,Don Cheadle,Paul Haggis
Jared Hess,Napoleon Dynamite,Jon Heder,Jared Hess
Oliver Hirschbiegel,Downfall,Bruno Ganz,Bernd Eichinger
Clint Eastwood,Million Dollar Baby,Hilary Swank,Paul Haggis
Eric Bress,The Butterfly Effect,Ashton Kutcher,J. Mackye Gruber
Don Mancini,Chucky 5: El Hijo de Chucky,Jennifer Tilly,Don Mancini
Matthew Vaughn,Layer Cake,Daniel Craig,J.J. Connolly
Zack Snyder,Dawn of the Dead,Sarah Polley,George A. Romero
Mel Gibson,The Passion of the Christ,Jim Caviezel,Benedict Fitzgerald
Wes Anderson,The Life Aquatic with Steve Zissou,Bill Murray,Wes Anderson
Mike Nichols,Closer,Natalie Portman,Patrick Marber
Hayao Miyazaki,Howl's Moving Castle,Chieko BaishÙ,Hayao Miyazaki
Martin Scorsese,El aviador,Leonardo DiCaprio,John Logan
Rawson Marshall Thurber,Dodgeball: A True Underdog Story,Ben Stiller,Rawson Marshall Thurber
Antoine Fuqua,King Arthur,Clive Owen,David Franzoni
Brad Silberling,A Series of Unfortunate Events,Jim Carrey,Robert Gordon
Gary Winick,13 Going on 30,Jennifer Garner,Josh Goldsmith
Marc Forster,Finding Neverland,Johnny Depp,Allan Knee
Sam Raimi,Spider-Man 2,Tobey Maguire,Stan Lee
Michael Mann,Collateral,Tom Cruise,Stuart Beattie
Alex Proyas,"I, Robot",Will Smith,Jeff Vintar
Paul Greengrass,The Bourne Supremacy,Matt Damon,Robert Ludlum
Andrew Adamson,Shrek 2,Mike Myers,William Steig
Tony Scott,Man on Fire,Denzel Washington,A.J. Quinnell
Oliver Stone,Alexander,Colin Farrell,Oliver Stone
David Twohy,The Chronicles of Riddick,Vin Diesel,Jim Wheat
Mark Rosman,A Cinderella Story,Hilary Duff,Leigh Dunlap
Steven Spielberg,The Terminal,Tom Hanks,Andrew Niccol
Alexander Payne,Sideways,Paul Giamatti,Rex Pickett
Peter Segal,50 First Dates,Adam Sandler,George Wing
Michael Winterbottom,9 Songs,Kieran O'Brien,Revolution Films
Adam McKay,Anchorman: The Legend of Ron Burgundy,Will Ferrell,Will Ferrell
Paul W.S. Anderson,AVP: Alien vs. Predator,Sanaa Lathan,Dan O'Bannon
Jon Turteltaub,National Treasure,Nicolas Cage,Jim Kouf
Garry Marshall,The Princess Diaries 2: Royal Engagement,Anne Hathaway,Meg Cabot
David S. Goyer,Blade: Trinity,Wesley Snipes,David S. Goyer
Peter Berg,Juego de viernes por la noche,Billy Bob Thornton,Buzz Bissinger
Steven Soderbergh,Ocean's Twelve,George Clooney,George Nolfi
John Hamburg,Along Came Polly,Ben Stiller,John Hamburg
Guy Ferland,Dirty Dancing: Havana Nights,Diego Luna,Kate Gunzinger
Shane Carruth,Primer,Shane Carruth,Shane Carruth
Danny Leiner,Harold & Kumar Go to White Castle,John Cho,Jon Hurwitz
Trey Parker,Team America: World Police,Trey Parker,Trey Parker
Tommy O'Haver,Ella Enchanted,Anne Hathaway,Laurie Craig
Zach Braff,Garden State,Zach Braff,Zach Braff
Frank Oz,The Stepford Wives,Nicole Kidman,Ira Levin
Joe Nussbaum,Sleepover,Alexa PenaVega,Elisa Bell
Takashi Shimizu,The Grudge,Sarah Michelle Gellar,Stephen Susco
Sara Sugarman,Confessions of a Teenage Drama Queen,Lindsay Lohan,Dyan Sheldon
Robert Zemeckis,The Polar Express,Tom Hanks,Chris Van Allsburg
Alexander Witt,Resident Evil: Apocalypse,Milla Jovovich,Paul W.S. Anderson
Richard Linklater,Before Sunset,Ethan Hawke,Richard Linklater
Terry George,Hotel Rwanda,Don Cheadle,Keir Pearson
David Koepp,Secret Window,Johnny Depp,Stephen King
Jay Roach,Meet the Fockers,Ben Stiller,Greg Glienna
Jonathan Demme,The Manchurian Candidate,Denzel Washington,Richard Condon
Bibo Bergeron,Shark Tale,Will Smith,Michael J. Wilson
D.J. Caruso,Taking Lives,Angelina Jolie,Michael Pye
Pitof,Catwoman,Halle Berry,Bob Kane
Stephen Chow,Kung Fu Hustle,Stephen Chow,Stephen Chow
Ethan Coen,The Ladykillers,Tom Hanks,Joel Coen
Kevin Bray,Walking Tall,Dwayne Johnson,Mort Briskin
Raja Gosnell,Scooby-Doo 2: Monsters Unleashed,Freddie Prinze Jr.,William Hanna
James L. Brooks,Spanglish,Adam Sandler,James L. Brooks
Kerry Conran,Sky Captain and the World of Tomorrow,Gwyneth Paltrow,Kerry Conran
Frank Coraci,Around the World in 80 Days,Jackie Chan,Jules Verne
Stephen Hillenburg,The SpongeBob SquarePants Movie,Jeffrey Tambor,Stephen Hillenburg
Gavin O'Connor,Miracle,Kurt Russell,Eric Guggenheim
Taylor Hackford,Ray,Jamie Foxx,Taylor Hackford
Beeban Kidron,Bridget Jones: The Edge of Reason,RenÈe Zellweger,Helen Fielding
Alejandro Amen·bar,The Sea Inside,Javier Bardem,Alejandro Amen·bar
Sean McNamara,Raise Your Voice,Hilary Duff,Mitch Rotter
Jean-Pierre Jeunet,A Very Long Engagement,Audrey Tautou,SÈbastien Japrisot
Paul McGuigan,Wicker Park,Josh Hartnett,Gilles Mimouni
Tim Story,Taxi,Queen Latifah,Luc Besson
Martha Coolidge,The Prince and Me,Julia Stiles,Mark Amin
Todd Phillips,Starsky & Hutch,Ben Stiller,William Blinn
John Moore,Flight of the Phoenix,Dennis Quaid,Lukas Heller
Andy Cadiff,Chasing Liberty,Mandy Moore,Derek Guiley
Gregg Araki,Mysterious Skin,Brady Corbet,Gregg Araki
Bart Freundlich,Catch That Kid,Kristen Stewart,Nikolaj Arcel
Richard Loncraine,Wimbledon,Kirsten Dunst,Adam Brooks
Angela Robinson,D.E.B.S.,Sara Foster,Angela Robinson
David R. Ellis,Cellular,Kim Basinger,Larry Cohen
Shane Meadows,Dead Man's Shoes,Paddy Considine,Paddy Considine
Renny Harlin,La isla maldita,Val Kilmer,Wayne Kramer
David O. Russell,I Heart Huckabees,Jason Schwartzman,David O. Russell
Peter Hewitt,Garfield,Breckin Meyer,Jim Davis
Pierre Morel,District B13,Cyril Raffaelli,Luc Besson
Bill Condon,Kinsey,Liam Neeson,Bill Condon
Joseph Ruben,The Forgotten,Julianne Moore,Gerald Di Pego
Steven Brill,Without a Paddle,Matthew Lillard,Fred Wolf
Walter Salles,The Motorcycle Diaries,Gael GarcÌa Bernal,Ernesto 'Che' Guevara
Kevin Smith,Jersey Girl,Ben Affleck,Kevin Smith
Yimou Zhang,House of Flying Daggers,Ziyi Zhang,Feng Li
Mira Nair,Vanity Fair,Reese Witherspoon,Matthew Faulk
Kar-Wai Wong,2046,Tony Chiu-Wai Leung,Kar-Wai Wong
Jessy Terrero,Soul Plane,Dwayne Adway,Bo Zenga
Jonathan Frakes,Thunderbirds,Bill Paxton,Gerry Anderson
Renny Harlin,Exorcist: The Beginning,Stellan SkarsgÂrd,William Peter Blatty
Jay Chandrasekhar,Club Dread,Jay Chandrasekhar,Jay Chandrasekhar
Robert Luketic,Win a Date with Tad Hamilton!,Kate Bosworth,Victor Levin
Brian Robbins,The Perfect Score,Scarlett Johansson,Marc Hyman
Brian Dannelly,Saved!,Jena Malone,Brian Dannelly
Joe Johnston,Hidalgo,Viggo Mortensen,John Fusco
Jacob Estes,Mean Creek,Rory Culkin,Jacob Estes
Chris Stokes,You Got Served,Omarion Grandberry,Chris Stokes
Joe Roth,Christmas with the Kranks,Tim Allen,John Grisham
Brett Ratner,After the Sunset,Pierce Brosnan,Paul Zbyszewski
Joseph Kahn,Torque,Martin Henderson,Matt Johnson
Laurence Dunmore,The Libertine,Johnny Depp,Stephen Jeffreys
Kevin Spacey,Beyond the Sea,Kevin Spacey,Kevin Spacey
John Waters,A Dirty Shame,Tracey Ullman,John Waters
Dennie Gordon,New York Minute,Mary-Kate Olsen,Emily Fox
Forest Whitaker,First Daughter,Katie Holmes,Jessica Bendinger
Michael Radford,The Merchant of Venice,Al Pacino,William Shakespeare
Jonathan Glazer,Birth,Nicole Kidman,Jean-Claude CarriËre
Pedro AlmodÛvar,Bad Education,Gael GarcÌa Bernal,Pedro AlmodÛvar
Charles Shyer,Alfie,Jude Law,Bill Naughton
Pawel Pawlikowski,My Summer of Love,Natalie Press,Helen Cross
Gurinder Chadha,Bride & Prejudice,Martin Henderson,Jane Austen
George Armitage,The Big Bounce,Owen Wilson,Elmore Leonard
Kevin Allen,Agent Cody Banks 2: Destination London,Frankie Muniz,Jeffrey Jurgensen
Omar Naim,The Final Cut,Robin Williams,Omar Naim
Peter Chelsom,Shall We Dance,Richard Gere,Masayuki Suo
John Lee Hancock,The Alamo,Dennis Quaid,Leslie Bohem
Jay Russell,Ladder 49,Joaquin Phoenix,Lewis Colick
Dwight H. Little,Anacondas: The Hunt for the Blood Orchid,Morris Chestnut,Hans Bauer
Garry Marshall,Raising Helen,Kate Hudson,Patrick J. Clifton
Christophe Barratier,The Chorus,GÈrard Jugnot,Georges Chaperot
Nicole Kassell,The Woodsman,Kevin Bacon,Steven Fechter
Dennis Gansel,Before the Fall,Max Riemelt,Dennis Gansel
Bob Clark,Superbabies: Baby Geniuses 2,Jon Voight,Steven Paul
Mamoru Oshii,Ghost in the Shell 2: Innocence,Akio ‘tsuka,Shirow Masamune
Barry Levinson,Envy,Ben Stiller,Steve Adams
Howard Deutch,The Whole Ten Yards,Bruce Willis,Mitchell Kapner
Irwin Winkler,De-Lovely,Kevin Kline,Jay Cocks
Shainee Gabel,A Love Song for Bobby Long,Scarlett Johansson,Ronald Everett Capps
Timur Bekmambetov,Night Watch,Konstantin Khabenskiy,Timur Bekmambetov
Yash Chopra,Veer-Zaara,Shah Rukh Khan,Aditya Chopra
Philip Kaufman,Twisted,Ashley Judd,Sarah Thorp
Jean-Jacques Annaud,Two Brothers,Guy Pearce,Alain Godard
Will Finn,Home on the Range,Judi Dench,Will Finn
Asia Argento,The Heart Is Deceitful Above All Things,Asia Argento,Laura Albert
Paul Weitz,In Good Company,Dennis Quaid,Paul Weitz
Joel Zwick,Fat Albert,Kenan Thompson,Bill Cosby
Dylan Kidd,P.S.,Laura Linney,Helen Schulman
Christopher Erskin,Johnson Family Vacation,Cedric the Entertainer,Todd R. Jones
Tod Williams,The Door in the Floor,Jeff Bridges,John Irving
Cate Shortland,Amor o sexo,Abbie Cornish,Cate Shortland
Mick Garris,Riding the Bullet,Jonathan Jackson,Mick Garris
Fruit Chan,Three... Extremes,Bai Ling,Haruko Fukushima
David Mamet,Spartan,Val Kilmer,David Mamet
John Duigan,Head in the Clouds,Charlize Theron,John Duigan
Rowdy Herrington,Bobby Jones: Stroke of Genius,Jim Caviezel,Rowdy Herrington
Christophe HonorÈ,Ma mËre,Isabelle Huppert,Georges Bataille
Peter Howitt,Las leyes de atracciÛn,Pierce Brosnan,Aline Brosh McKenna
Joshua Marston,Maria Full of Grace,Catalina Sandino Moreno,Joshua Marston
Ziad Doueiri,Lila Says,Vahina Giocante,Chimo
Spike Lee,She Hate Me,Anthony Mackie,Michael Genet
Marco Kreuzpaintner,Summer Storm,Robert Stadlober,Thomas Bahmann
Danny Boyle,Millions,Alex Etel,Frank Cottrell Boyce
David Duchovny,House of D,David Duchovny,David Duchovny
Anurag Kashyap,Black Friday,Kay Kay Menon,Anurag Kashyap
Nick Hurran,Little Black Book,Brittany Murphy,Melissa Carter
Woody Allen,Melinda and Melinda,Will Ferrell,Woody Allen
Michael Dowse,It's All Gone Pete Tong,Paul Kaye,Michael Dowse
Mike Leigh,Vera Drake,Imelda Staunton,Mike Leigh
Charles Dance,Ladies in Lavender,Judi Dench,William J. Locke
David Gordon Green,Undertow,Jamie Bell,Lingard Jervey
Kay Pollak,As It Is in Heaven,Michael Nyqvist,Anders Nyberg
Michael Clancy,Eulogy,Ray Romano,Michael Clancy
Donald Petrie,Welcome to Mooseport,Gene Hackman,Doug Richardson
Ashutosh Gowariker,Swades,Shah Rukh Khan,M.G. Sathya
Alice Wu,Saving Face,Joan Chen,Alice Wu
E. Elias Merhige,Suspect Zero,Aaron Eckhart,Zak Penn
Q. Allan Brocka,Eating Out,Scott Lunsford,Q. Allan Brocka
Shona Auerbach,Dear Frankie,Emily Mortimer,Andrea Gibb
Roger Michell,Enduring Love,Rhys Ifans,Ian McEwan
Nick Hamm,Godsend,Robert De Niro,Mark Bomback
Pieter Jan Brugge,The Clearing,Robert Redford,Pieter Jan Brugge
Robert Harmon,Highwaymen,Jim Caviezel,Craig Mitchell
Michael McGowan,Saint Ralph,Adam Butcher,Michael McGowan
Damien O'Donnell,Rory O'Shea Was Here,James McAvoy,Jeffrey Caine
Kevin Rodney Sullivan,Barbershop 2: Back in Business,Ice Cube,Mark Brown
Istv·n SzabÛ,"Julia, una mujer seductora",Annette Bening,W. Somerset Maugham
Bahman Ghobadi,Turtles Can Fly,Soran Ebrahim,Bahman Ghobadi
John Curran,We Don't Live Here Anymore,Mark Ruffalo,Andre Dubus
Mike Barker,A Good Woman,Helen Hunt,Oscar Wilde
Michelangelo Antonioni,Eros,Li Gong,Kar-Wai Wong
Ki-duk Kim,3-Iron,Seung-yeon Lee,Ki-duk Kim
Charles Stone III,Mr 3000,Bernie Mac,Eric Champnella
Fabrice du Welz,Calvaire,Laurent Lucas,Romain Protat
Richard Eyre,Stage Beauty,Billy Crudup,Jeffrey Hatcher
Todd Solondz,Palindromes,Jennifer Jason Leigh,Todd Solondz
Mick Davis,Modigliani,Andy Garcia,Mick Davis
Mike Mitchell,Surviving Christmas,Ben Affleck,Deborah Kaplan
Michael Lembeck,Connie and Carla,Nia Vardalos,Nia Vardalos
Katsuhiro ‘tomo,Steamboy,Anna Paquin,Sadayuki Murai
Michael Mayer,A Home at the End of the World,Colin Farrell,Michael Cunningham
Hatsuki Tsuji,Yu-Gi-Oh!: The Movie,Dan Green,Masahiro Hikokubo
Chris Columbus,Rent,Taye Diggs,Stephen Chbosky
Tim Burton,Charlie and the Chocolate Factory,Johnny Depp,Roald Dahl
Mike Newell,Harry Potter and the Goblet of Fire,Daniel Radcliffe,Steve Kloves
Christopher Nolan,Batman Begins,Christian Bale,Bob Kane
Joss Whedon,Serenity,Nathan Fillion,Joss Whedon
James McTeigue,V for Vendetta,Hugo Weaving,Lilly Wachowski
Frank Miller,Sin City,Mickey Rourke,Frank Miller
Joe Wright,Pride & Prejudice,Keira Knightley,Jane Austen
Garth Jennings,The Hitchhiker's Guide to the Galaxy,Martin Freeman,Douglas Adams
Ang Lee,Brokeback Mountain,Jake Gyllenhaal,Annie Proulx
David Dobkin,Wedding Crashers,Owen Wilson,Steve Faber
Andrew Adamson,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Tilda Swinton,Ann Peacock
Peter Segal,The Longest Yard,Adam Sandler,Albert S. Ruddy
Eli Roth,Hostel,Jay Hernandez,Eli Roth
Ridley Scott,Kingdom of Heaven,Orlando Bloom,William Monahan
George Lucas,Star Wars: Episode III - Revenge of the Sith,Hayden Christensen,George Lucas
Steven Spielberg,War of the Worlds,Tom Cruise,Josh Friedman
Francis Lawrence,Constantine,Keanu Reeves,Jamie Delano
Rob Bowman,Elektra,Jennifer Garner,Mark Steven Johnson
James Mangold,Walk the Line,Joaquin Phoenix,Johnny Cash
Neil Marshall,The Descent,Shauna Macdonald,Neil Marshall
Andrew Douglas,The Amityville Horror,Ryan Reynolds,Scott Kosar
Andy Tennant,Hitch,Will Smith,Kevin Bisch
Peter Jackson,King Kong,Naomi Watts,Fran Walsh
Judd Apatow,The 40-Year-Old Virgin,Steve Carell,Judd Apatow
Doug Liman,Mr. & Mrs. Smith,Brad Pitt,Simon Kinberg
Darren Lynn Bousman,Saw II,Donnie Wahlberg,Leigh Whannell
Noah Baumbach,The Squid and the Whale,Owen Kline,Noah Baumbach
Rob Zombie,The Devil's Rejects,Sid Haig,Rob Zombie
Tim Burton,Corpse Bride,Johnny Depp,Tim Burton
Mike Mitchell,Sky High,Kurt Russell,Paul Hernandez
Michael Bay,The Island,Scarlett Johansson,Caspian Tredwell-Owen
Clare Kilner,The Wedding Date,Dermot Mulroney,Elizabeth Young
Lexi Alexander,Green Street Hooligans,Elijah Wood,Lexi Alexander
Ron Howard,Cinderella Man,Russell Crowe,Cliff Hollingsworth
Sam Mendes,Jarhead,Jake Gyllenhaal,William Broyles Jr.
Steven Spielberg,Munich,Eric Bana,Tony Kushner
F. Gary Gray,Be Cool,John Travolta,Elmore Leonard
Florent-Emilio Siri,Hostage,Bruce Willis,Robert Crais
David Cronenberg,A History of Violence,Viggo Mortensen,John Wagner
Tim Story,Fantastic Four,Ioan Gruffudd,Mark Frost
Woody Allen,Match Point,Scarlett Johansson,Woody Allen
Jon Favreau,Zathura: A Space Adventure,Josh Hutcherson,Chris Van Allsburg
Kirk Jones,Nanny McPhee,Emma Thompson,Emma Thompson
Eric Darnell,Madagascar,Chris Rock,Mark Burton
Jay Chandrasekhar,The Dukes of Hazzard,Seann William Scott,John O'Brien
Andrew Niccol,Lord of War,Nicolas Cage,Andrew Niccol
David Slade,Hard Candy,Patrick Wilson,Brian Nelson
Robert Schwentke,Flightplan,Jodie Foster,Peter A. Dowling
Rob Marshall,Memoirs of a Geisha,Ziyi Zhang,Robin Swicord
Scott Derrickson,The Exorcism of Emily Rose,Laura Linney,Paul Harris Boardman
Terrence Malick,The New World,Colin Farrell,Terrence Malick
Jaume Collet-Serra,La casa de cera,Chad Michael Murray,Charles Belden
Adam Shankman,Cheaper by the Dozen 2,Steve Martin,Sam Harper
John Singleton,Four Brothers,Mark Wahlberg,David Elliot
Robert Rodriguez,The Adventures of Sharkboy and Lavagirl 3-D,Cayden Boyd,Robert Rodriguez
Shane Black,Kiss Kiss Bang Bang,Robert Downey Jr.,Brett Halliday
Rob McKittrick,Waiting...,Ryan Reynolds,Rob McKittrick
Terry Gilliam,The Brothers Grimm,Matt Damon,Ehren Kruger
Karyn Kusama,∆on Flux,Charlize Theron,Phil Hay
Ken Kwapis,The Sisterhood of the Traveling Pants,Amber Tamblyn,Ann Brashares
Lee Tamahori,xXx: State of the Union,Ice Cube,Rich Wilkes
Lasse Hallstrˆm,Casanova,Heath Ledger,Jeffrey Hatcher
Wes Craven,Red Eye,Rachel McAdams,Carl Ellsworth
Chris Wedge,Robots,Ewan McGregor,Ron Mita
Roger Kumble,Just Friends,Ryan Reynolds,Adam 'Tex' Davis
Mark Waters,Just Like Heaven,Reese Witherspoon,Peter Tolan
Rian Johnson,Brick,Joseph Gordon-Levitt,Rian Johnson
Martin Campbell,The Legend of Zorro,Antonio Banderas,Roberto Orci
Thomas Carter,Coach Carter,Samuel L. Jackson,Mark Schwahn
Angela Robinson,Herbie Fully Loaded,Lindsay Lohan,Thomas Lennon
Rob Reiner,Rumor Has It...,Jennifer Aniston,Ted Griffin
Adam Shankman,The Pacifier,Vin Diesel,Thomas Lennon
John Polson,Hide and Seek,Robert De Niro,Ari Schlossberg
Greg McLean,Wolf Creek,Nathan Phillips,Greg McLean
Mark Dindal,Chicken Little,Zach Braff,Mark Dindal
